id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
24035,Queen Anne's,Maryland,"39.06438588,-76.02465562","39.022436,-76.148099",11657.6,963.24,47798,375.6
30083,Richland,Montana,"47.78517084,-104.5581634","47.718572,-104.203904",27576,5397.91,9746,375.3
16083,Twin Falls,Idaho,"42.35371697,-114.667333","42.558563,-114.504002",26424.9,4975.92,77230,374.6
55078,Menominee,Wisconsin,"45.00423067,-88.70949857","44.913795,-88.641293",11400.4,926.2,4232,374.6
56001,Albany,Wyoming,"41.6555187,-105.7232257","41.314993,-105.598281",39233,11069.19,36299,372.9
16061,Lewis,Idaho,"46.23396086,-116.4275047","46.238066,-116.25739",13129.4,1240.07,3821,372.8
55035,Eau Claire,Wisconsin,"44.72661111,-91.28610393","44.790413,-91.454948",15132.4,1652.37,98736,372.3
02282,Yakutat,Alaska,"59.89049668,-140.3626101","59.547975,-139.724878",52382.7,19812,662,372.2
40117,Pawnee,Oklahoma,"36.31463027,-96.70017349","36.273127,-96.549785",14272.5,1471,16577,372.1
56023,Lincoln,Wyoming,"42.26531531,-110.6564937","42.580437,-110.841375",38168.2,10557.13,18106,371.5
56029,Park,Wyoming,"44.52007094,-109.5862605","44.615174,-108.97346",49813.2,17979.9,28205,371.5
06085,Santa Clara,California,"37.23308435,-121.6913405","37.315105,-121.910421",21457.1,3341.34,1781642,371.2
48179,Gray,Texas,"35.40081878,-100.8129222","35.527957,-100.938403",18130.2,2398.26,22535,370.2
48317,Martin,Texas,"32.30600051,-101.9513518","32.184223,-101.825151",17994.7,2369.69,4799,369.7
12089,Nassau,Florida,"30.61063983,-81.80502415","30.607962,-81.647153",15141.4,1679.97,73314,369.4
